Luxembourg, Death rates (period 1x10), 	Last modified: 06 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999        3             0.000193        0.000293        0.000245
1990-1999        4             0.000276        0.000262        0.000269
1990-1999        5             0.000362        0.000344        0.000353
1990-1999        6             0.000246        0.000195        0.000220
1990-1999        7             0.000168        0.000199        0.000184
1990-1999        8             0.000000        0.000202        0.000104
1990-1999        9             0.000129        0.000164        0.000147
1990-1999       10             0.000087        0.000250        0.000170
1990-1999       11             0.000133        0.000169        0.000151
1990-1999       12             0.000135        0.000384        0.000263
1990-1999       13             0.000000        0.000173        0.000089
1990-1999       14             0.000138        0.000219        0.000179
1990-1999       15             0.000231        0.000309        0.000271
1990-1999       16             0.000373        0.000620        0.000500
1990-1999       17             0.000279        0.000748        0.000520
1990-1999       18             0.000501        0.001212        0.000866
1990-1999       19             0.000619        0.001231        0.000931
1990-1999       20             0.000422        0.001106        0.000769
1990-1999       21             0.000406        0.001898        0.001162
1990-1999       22             0.000274        0.001288        0.000790
1990-1999       23             0.000560        0.001007        0.000788
1990-1999       24             0.000458        0.001293        0.000883
1990-1999       25             0.000335        0.001095        0.000723
1990-1999       26             0.000445        0.000978        0.000717
1990-1999       27             0.000490        0.001330        0.000918
1990-1999       28             0.000359        0.001301        0.000837
1990-1999       29             0.000526        0.001533        0.001037
1990-1999       30             0.000433        0.001345        0.000896
1990-1999       31             0.000660        0.001612        0.001144
1990-1999       32             0.000601        0.001413        0.001014
1990-1999       33             0.000918        0.001417        0.001171
1990-1999       34             0.000810        0.001651        0.001237
1990-1999       35             0.000850        0.002009        0.001440
1990-1999       36             0.001190        0.001904        0.001553
1990-1999       37             0.000845        0.001785        0.001323
1990-1999       38             0.000954        0.002201        0.001588
1990-1999       39             0.001291        0.002360        0.001836
1990-1999       40             0.001094        0.002271        0.001697
1990-1999       41             0.001576        0.002402        0.002000
1990-1999       42             0.001677        0.002766        0.002236
1990-1999       43             0.001508        0.003415        0.002491
1990-1999       44             0.001903        0.002731        0.002331
1990-1999       45             0.001855        0.003663        0.002791
1990-1999       46             0.002616        0.003988        0.003328
1990-1999       47             0.002266        0.003300        0.002803
1990-1999       48             0.002745        0.004505        0.003658
1990-1999       49             0.002896        0.005251        0.004115
1990-1999       50             0.003484        0.005284        0.004411
1990-1999       51             0.003123        0.006699        0.004955
1990-1999       52             0.003177        0.006734        0.004989
1990-1999       53             0.003893        0.007784        0.005866
1990-1999       54             0.004310        0.008535        0.006444
1990-1999       55             0.004639        0.008587        0.006622
1990-1999       56             0.005022        0.010479        0.007747
1990-1999       57             0.005126        0.011175        0.008130
1990-1999       58             0.004297        0.011096        0.007656
1990-1999       59             0.006116        0.012599        0.009304
1990-1999       60             0.007041        0.014984        0.010927
1990-1999       61             0.007691        0.014017        0.010774
1990-1999       62             0.008015        0.016874        0.012318
1990-1999       63             0.009289        0.020634        0.014741
1990-1999       64             0.009279        0.020091        0.014395
1990-1999       65             0.011552        0.022068        0.016441
1990-1999       66             0.010302        0.024826        0.016930
1990-1999       67             0.012665        0.026690        0.018915
1990-1999       68             0.014540        0.030781        0.021591
1990-1999       69             0.016901        0.034507        0.024354
1990-1999       70             0.018945        0.037567        0.026604
1990-1999       71             0.018748        0.036523        0.025873
1990-1999       72             0.022408        0.044771        0.031143
1990-1999       73             0.023054        0.055568        0.035409
1990-1999       74             0.027755        0.056020        0.038297
1990-1999       75             0.033114        0.059118        0.042731
1990-1999       76             0.034386        0.064550        0.045450
1990-1999       77             0.038021        0.069225        0.049319
1990-1999       78             0.048655        0.085798        0.061901
1990-1999       79             0.047273        0.089881        0.062111
1990-1999       80             0.064337        0.100001        0.076780
1990-1999       81             0.064012        0.111375        0.080022
1990-1999       82             0.082326        0.115683        0.093275
1990-1999       83             0.086515        0.137907        0.102907
1990-1999       84             0.103805        0.139663        0.114828
1990-1999       85             0.114954        0.163192        0.129250
1990-1999       86             0.129106        0.177587        0.142961
1990-1999       87             0.146279        0.182221        0.156249
1990-1999       88             0.164594        0.217267        0.178831
1990-1999       89             0.181936        0.222691        0.192635
1990-1999       90             0.204460        0.228453        0.210604
1990-1999       91             0.246791        0.269428        0.252516
1990-1999       92             0.256918        0.278282        0.262296
1990-1999       93             0.272313        0.329881        0.286604
1990-1999       94             0.279100        0.382171        0.303670
1990-1999       95             0.320184        0.388721        0.335611
1990-1999       96             0.383919        0.448268        0.397555
1990-1999       97             0.306521        0.440482        0.333195
1990-1999       98             0.290892        0.690428        0.359100
1990-1999       99             0.451211        0.427807        0.448081
1990-1999      100             0.496710        1.053200        0.555565
1990-1999      101             0.539711        0.217077        0.516302
1990-1999      102             0.549489        0.684932        0.560817
1990-1999      103             0.111286        0.000000        0.100713
1990-1999      104             0.337464        2.173913        0.450805
1990-1999      105             0.681818              .        0.681818
1990-1999      106             1.034483              .        1.034483
1990-1999      107             0.000000              .        0.000000
1990-1999      108             2.142857              .        2.142857
1990-1999      109                   .              .              .
1990-1999      110+                  .              .              .
2000-2009        0             0.003362        0.003834        0.003606
2000-2009        1             0.000187        0.000385        0.000289
2000-2009        2             0.000183        0.000274        0.000230
2000-2009        3             0.000217        0.000271        0.000245
2000-2009        4             0.000251        0.000403        0.000329
2000-2009        5             0.000036        0.000134        0.000086
2000-2009        6             0.000000        0.000100        0.000051
2000-2009        7             0.000035        0.000100        0.000068
2000-2009        8             0.000175        0.000200        0.000188
2000-2009        9             0.000140        0.000100        0.000120
2000-2009       10             0.000141        0.000067        0.000103
2000-2009       11             0.000071        0.000101        0.000086
2000-2009       12             0.000071        0.000239        0.000157
2000-2009       13             0.000109        0.000242        0.000177
2000-2009       14             0.000257        0.000211        0.000234
2000-2009       15             0.000150        0.000107        0.000128
2000-2009       16             0.000190        0.000218        0.000205
2000-2009       17             0.000193        0.000258        0.000226
2000-2009       18             0.000272        0.000851        0.000569
2000-2009       19             0.000388        0.000777        0.000587
2000-2009       20             0.000192        0.000885        0.000546
2000-2009       21             0.000380        0.001276        0.000837
2000-2009       22             0.000301        0.000904        0.000608
2000-2009       23             0.000258        0.000784        0.000525
2000-2009       24             0.000284        0.000798        0.000544
2000-2009       25             0.000411        0.000772        0.000593
2000-2009       26             0.000330        0.000945        0.000640
2000-2009       27             0.000380        0.000978        0.000680
2000-2009       28             0.000183        0.001072        0.000627
2000-2009       29             0.000475        0.001075        0.000774
2000-2009       30             0.000518        0.001042        0.000780
2000-2009       31             0.000421        0.000676        0.000548
2000-2009       32             0.000522        0.001152        0.000837
2000-2009       33             0.000430        0.001101        0.000766
2000-2009       34             0.000526        0.001128        0.000828
2000-2009       35             0.000493        0.001004        0.000750
2000-2009       36             0.000561        0.001331        0.000949
2000-2009       37             0.000482        0.001292        0.000891
2000-2009       38             0.000962        0.001558        0.001263
2000-2009       39             0.000635        0.001606        0.001127
2000-2009       40             0.000536        0.001313        0.000930
2000-2009       41             0.000672        0.001795        0.001243
