Spain, Death rates (period 5x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979     15-19            0.000361        0.000862        0.000615
1970-1979     20-24            0.000459        0.001162        0.000815
1970-1979     25-29            0.000569        0.001217        0.000894
1970-1979     30-34            0.000765        0.001446        0.001104
1970-1979     35-39            0.001112        0.001996        0.001550
1970-1979     40-44            0.001631        0.003058        0.002335
1970-1979     45-49            0.002527        0.004787        0.003639
1970-1979     50-54            0.003958        0.007707        0.005768
1970-1979     55-59            0.006079        0.012164        0.008910
1970-1979     60-64            0.009833        0.019564        0.014238
1970-1979     65-69            0.016634        0.031455        0.023176
1970-1979     70-74            0.030907        0.051437        0.039525
1970-1979     75-79            0.057123        0.083110        0.067299
1970-1979     80-84            0.100473        0.132926        0.111935
1970-1979     85-89            0.165485        0.201186        0.176860
1970-1979     90-94            0.251162        0.290258        0.262106
1970-1979     95-99            0.351396        0.375349        0.357053
1970-1979    100-104           0.457045        0.479897        0.461462
1970-1979    105-109           0.451443        0.367244        0.430566
1970-1979    110+              0.197835        0.160010        0.180846
1980-1989        0             0.008765        0.011071        0.009958
1980-1989      1-4             0.000457        0.000578        0.000520
1980-1989      5-9             0.000212        0.000310        0.000263
1980-1989     10-14            0.000197        0.000306        0.000253
1980-1989     15-19            0.000331        0.000802        0.000572
1980-1989     20-24            0.000391        0.001223        0.000813
1980-1989     25-29            0.000446        0.001264        0.000858
1980-1989     30-34            0.000568        0.001339        0.000955
1980-1989     35-39            0.000805        0.001756        0.001281
1980-1989     40-44            0.001214        0.002633        0.001921
1980-1989     45-49            0.001910        0.004203        0.003042
1980-1989     50-54            0.002925        0.006687        0.004768
1980-1989     55-59            0.004458        0.010455        0.007360
1980-1989     60-64            0.007233        0.016391        0.011522
1980-1989     65-69            0.012174        0.025606        0.018113
1980-1989     70-74            0.022266        0.041810        0.030440
1980-1989     75-79            0.042176        0.067900        0.052301
1980-1989     80-84            0.078513        0.109857        0.089651
1980-1989     85-89            0.137762        0.172603        0.148788
1980-1989     90-94            0.224106        0.260202        0.234101
1980-1989     95-99            0.318463        0.349710        0.326112
1980-1989    100-104           0.431258        0.495136        0.444987
