The United States of America, Death rates (period 5x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009     20-24            0.000473        0.001411        0.000953
2000-2009     25-29            0.000557        0.001405        0.000984
2000-2009     30-34            0.000735        0.001508        0.001123
2000-2009     35-39            0.001106        0.001975        0.001539
2000-2009     40-44            0.001734        0.002922        0.002323
2000-2009     45-49            0.002607        0.004409        0.003496
2000-2009     50-54            0.003775        0.006484        0.005101
2000-2009     55-59            0.005590        0.009308        0.007392
2000-2009     60-64            0.008765        0.013879        0.011210
2000-2009     65-69            0.013595        0.020883        0.016998
2000-2009     70-74            0.021566        0.032331        0.026403
2000-2009     75-79            0.034891        0.050965        0.041676
2000-2009     80-84            0.060996        0.085818        0.070496
2000-2009     85-89            0.106549        0.142309        0.118373
2000-2009     90-94            0.184004        0.233125        0.196970
2000-2009     95-99            0.296794        0.358039        0.308831
2000-2009    100-104           0.437662        0.503999        0.447191
2000-2009    105-109           0.587395        0.615124        0.590650
2000-2009    110+              0.680480        0.813441        0.696287
2010-2019        0             0.005327        0.006406        0.005879
2010-2019      1-4             0.000221        0.000279        0.000251
2010-2019      5-9             0.000104        0.000129        0.000117
2010-2019     10-14            0.000120        0.000169        0.000145
2010-2019     15-19            0.000282        0.000677        0.000485
2010-2019     20-24            0.000465        0.001290        0.000887
2010-2019     25-29            0.000616        0.001509        0.001069
2010-2019     30-34            0.000830        0.001705        0.001270
2010-2019     35-39            0.001120        0.002011        0.001565
2010-2019     40-44            0.001585        0.002587        0.002083
2010-2019     45-49            0.002444        0.003883        0.003156
2010-2019     50-54            0.003758        0.006071        0.004894
2010-2019     55-59            0.005477        0.009166        0.007268
2010-2019     60-64            0.007846        0.013079        0.010352
2010-2019     65-69            0.011623        0.018261        0.014754
2010-2019     70-74            0.018383        0.027139        0.022421
2010-2019     75-79            0.030162        0.042626        0.035684
2010-2019     80-84            0.052921        0.071110        0.060483
2010-2019     85-89            0.096048        0.122953        0.106057
2010-2019     90-94            0.169754        0.210226        0.182359
2010-2019     95-99            0.279748        0.337495        0.293487
2010-2019    100-104           0.420600        0.493267        0.432348
2010-2019    105-109           0.573290        0.607436        0.577019
2010-2019    110+              0.652395        0.362703        0.603779
2020-2021        0             0.004983        0.005849        0.005426
2020-2021      1-4             0.000213        0.000262        0.000238
2020-2021      5-9             0.000101        0.000126        0.000114
2020-2021     10-14            0.000131        0.000193        0.000163
2020-2021     15-19            0.000334        0.000849        0.000597
2020-2021     20-24            0.000602        0.001628        0.001126
2020-2021     25-29            0.000851        0.002127        0.001500
2020-2021     30-34            0.001193        0.002618        0.001913
2020-2021     35-39            0.001587        0.003104        0.002352
2020-2021     40-44            0.002137        0.003855        0.002998
2020-2021     45-49            0.002999        0.005124        0.004059
2020-2021     50-54            0.004377        0.007394        0.005880
2020-2021     55-59            0.006563        0.011036        0.008764
2020-2021     60-64            0.009667        0.016025        0.012754
2020-2021     65-69            0.013547        0.021967        0.017545
2020-2021     70-74            0.020702        0.031113        0.025554
2020-2021     75-79            0.034335        0.049066        0.040982
2020-2021     80-84            0.058368        0.079284        0.067308
2020-2021     85-89            0.105086        0.136660        0.117397
2020-2021     90-94            0.183862        0.218573        0.195798
2020-2021     95-99            0.301144        0.352619        0.314846
2020-2021    100-104           0.449719        0.511226        0.461288
2020-2021    105-109           0.607046        0.652937        0.612801
2020-2021    110+              0.831300        0.392726        0.744747
